CustomerID,InvoiceID,InvoiceDate,Amount,ProductCategory,Quantity,UnitPrice
C1029,INV-600288,2024-12-01 00:00:00,200.18,Apparel & Designer Wear,2,100.09
C1075,INV-600747,2024-12-01 00:00:00,178.82,Electronics & Gadgets,1,178.82
C1075,INV-600747,2024-12-01 00:00:00,104.65,Sports & Outdoors,1,104.65
C1030,INV-600298,2024-12-01 00:00:00,461.14,Apparel & Designer Wear,2,230.57
C1630,INV-602814,2024-12-02 00:00:00,105.45,Electronics & Gadgets,1,105.45
C1630,INV-602814,2024-12-02 00:00:00,186.88,Home & Smart Living,1,186.88
C1630,INV-602814,2024-12-02 00:00:00,165.96,Apparel & Designer Wear,2,82.98
C1647,INV-602879,2024-12-02 00:00:00,138.25,Home & Smart Living,1,138.25
C1167,INV-601475,2024-12-02 00:00:00,105.58,Apparel & Designer Wear,1,105.58
C1647,INV-602879,2024-12-02 00:00:00,86.06,Beauty & Wellness,1,86.06
C1647,INV-602879,2024-12-02 00:00:00,169.98,Beauty & Wellness,2,84.99
C1167,INV-601475,2024-12-02 00:00:00,129.31,Electronics & Gadgets,1,129.31
C1039,INV-600387,2024-12-03 00:00:00,122.36,Home & Smart Living,1,122.36
C1039,INV-600387,2024-12-03 00:00:00,92.5,Electronics & Gadgets,1,92.5
C1175,INV-601536,2024-12-03 00:00:00,163.31,Gourmet Foods & Coffee,7,23.33
C1657,INV-602916,2024-12-03 00:00:00,275.78,Sports & Outdoors,1,275.78
C1063,INV-600629,2024-12-03 00:00:00,72.5,Home & Smart Living,1,72.5
C1657,INV-602916,2024-12-03 00:00:00,282.96,Beauty & Wellness,3,94.32
C1063,INV-600629,2024-12-03 00:00:00,78.59,Electronics & Gadgets,1,78.59
C1063,INV-600629,2024-12-03 00:00:00,83.28,Electronics & Gadgets,1,83.28
C1004,INV-600037,2024-12-03 00:00:00,243.94,Sports & Outdoors,2,121.97
C1636,INV-602834,2024-12-04 00:00:00,221.64,Sports & Outdoors,4,55.41
C1615,INV-602739,2024-12-04 00:00:00,125.62,Apparel & Designer Wear,2,62.81
C1059,INV-600586,2024-12-04 00:00:00,76.95,Sports & Outdoors,1,76.95
C1059,INV-600586,2024-12-04 00:00:00,111.05,Sports & Outdoors,1,111.05
C1615,INV-602739,2024-12-04 00:00:00,112.55,Home & Smart Living,1,112.55
C1084,INV-600837,2024-12-04 00:00:00,141.42,Sports & Outdoors,1,141.42
C1084,INV-600837,2024-12-04 00:00:00,162.92,Home & Smart Living,1,162.92
C1059,INV-600586,2024-12-04 00:00:00,88.6,Sports & Outdoors,2,44.3
C1636,INV-602834,2024-12-04 00:00:00,251.82,Beauty & Wellness,3,83.94
C1600,INV-602667,2024-12-04 00:00:00,292.8,Electronics & Gadgets,1,292.8
C1620,INV-602769,2024-12-04 00:00:00,367.89,Home & Smart Living,3,122.63
C1640,INV-602852,2024-12-04 00:00:00,307.42,Sports & Outdoors,2,153.71
C1088,INV-600877,2024-12-04 00:00:00,112.88,Electronics & Gadgets,1,112.88
C1615,INV-602739,2024-12-04 00:00:00,97.05,Home & Smart Living,1,97.05
C1088,INV-600877,2024-12-04 00:00:00,69.91,Electronics & Gadgets,1,69.91
C1088,INV-600877,2024-12-04 00:00:00,121.29,Gourmet Foods & Coffee,3,40.43
C1033,INV-600330,2024-12-04 00:00:00,255.51,Home & Smart Living,3,85.17
C1072,INV-600717,2024-12-05 00:00:00,184.76,Gourmet Foods & Coffee,4,46.19
C1072,INV-600717,2024-12-05 00:00:00,182.14,Apparel & Designer Wear,2,91.07
C1068,INV-600678,2024-12-05 00:00:00,129.87,Gourmet Foods & Coffee,9,14.43
C1068,INV-600678,2024-12-05 00:00:00,122.3,Beauty & Wellness,1,122.3
C1068,INV-600678,2024-12-05 00:00:00,150.6,Sports & Outdoors,1,150.6
C1588,INV-602602,2024-12-05 00:00:00,175.44,Beauty & Wellness,2,87.72
