AccountID,BillingID,BillingDate,MRR_Amount,SubscriptionTier,AddonUsageSpend
ACC-2244,INV-B2B-801635,2024-12-06,199.0,Growth Suite,0
ACC-2023,INV-B2B-800145,2024-12-10,499.0,Professional Platform,0
ACC-2398,INV-B2B-802696,2024-12-15,99.0,Starter Cloud,50
ACC-2250,INV-B2B-801686,2024-12-15,199.0,Starter Cloud,150
ACC-2223,INV-B2B-801504,2024-12-16,199.0,Starter Cloud,150
ACC-2300,INV-B2B-802041,2024-12-17,649.0,Professional Platform,150
ACC-2306,INV-B2B-802097,2024-12-17,249.0,Growth Suite,50
ACC-2115,INV-B2B-800768,2024-12-19,549.0,Growth Suite,350
ACC-2144,INV-B2B-800960,2024-12-21,199.0,Starter Cloud,150
ACC-2108,INV-B2B-800714,2024-12-22,199.0,Growth Suite,0
ACC-2174,INV-B2B-801167,2024-12-22,399.0,Starter Cloud,350
ACC-2343,INV-B2B-802336,2024-12-22,849.0,Professional Platform,350
ACC-2292,INV-B2B-801985,2024-12-24,249.0,Growth Suite,50
ACC-2124,INV-B2B-800833,2024-12-25,199.0,Starter Cloud,150
ACC-2044,INV-B2B-800263,2024-12-25,74.0,Starter Cloud,25
ACC-2331,INV-B2B-802263,2024-12-26,249.0,Growth Suite,50
ACC-2369,INV-B2B-802501,2024-12-26,249.0,Growth Suite,50
ACC-2198,INV-B2B-801320,2024-12-28,549.0,Growth Suite,350
ACC-2378,INV-B2B-802578,2024-12-29,349.0,Growth Suite,150
ACC-2247,INV-B2B-801670,2024-12-29,849.0,Professional Platform,350
ACC-2240,INV-B2B-801609,2024-12-30,849.0,Professional Platform,350
ACC-2277,INV-B2B-801865,2024-12-30,99.0,Starter Cloud,50
ACC-2062,INV-B2B-800405,2025-01-01,549.0,Growth Suite,350
ACC-2245,INV-B2B-801647,2025-01-01,549.0,Growth Suite,350
ACC-2101,INV-B2B-800664,2025-01-02,224.0,Growth Suite,25
ACC-2145,INV-B2B-800972,2025-01-03,549.0,Professional Platform,50
ACC-2138,INV-B2B-800920,2025-01-04,524.0,Professional Platform,25
ACC-2244,INV-B2B-801634,2025-01-05,199.0,Growth Suite,0
ACC-2125,INV-B2B-800837,2025-01-06,199.0,Growth Suite,0
ACC-2275,INV-B2B-801847,2025-01-07,349.0,Growth Suite,150
ACC-2023,INV-B2B-800144,2025-01-09,524.0,Professional Platform,25
ACC-2398,INV-B2B-802695,2025-01-14,49.0,Starter Cloud,0
ACC-2250,INV-B2B-801685,2025-01-14,74.0,Starter Cloud,25
ACC-2387,INV-B2B-802636,2025-01-14,249.0,Growth Suite,50
ACC-2336,INV-B2B-802293,2025-01-15,74.0,Starter Cloud,25
ACC-2155,INV-B2B-801036,2025-01-15,49.0,Starter Cloud,0
ACC-2185,INV-B2B-801240,2025-01-15,49.0,Starter Cloud,0
ACC-2223,INV-B2B-801503,2025-01-15,199.0,Starter Cloud,150
ACC-2212,INV-B2B-801419,2025-01-16,49.0,Starter Cloud,0
ACC-2306,INV-B2B-802096,2025-01-16,199.0,Growth Suite,0
ACC-2137,INV-B2B-800908,2025-01-16,199.0,Growth Suite,0
ACC-2300,INV-B2B-802040,2025-01-16,549.0,Professional Platform,50
ACC-2380,INV-B2B-802598,2025-01-17,349.0,Growth Suite,150
ACC-2297,INV-B2B-802020,2025-01-18,49.0,Starter Cloud,0
ACC-2346,INV-B2B-802350,2025-01-18,524.0,Professional Platform,25
ACC-2115,INV-B2B-800767,2025-01-18,224.0,Growth Suite,25
ACC-2295,INV-B2B-802005,2025-01-19,524.0,Professional Platform,25
ACC-2256,INV-B2B-801722,2025-01-19,649.0,Professional Platform,150
ACC-2144,INV-B2B-800959,2025-01-20,99.0,Starter Cloud,50
ACC-2108,INV-B2B-800713,2025-01-21,349.0,Growth Suite,150
ACC-2174,INV-B2B-801166,2025-01-21,74.0,Starter Cloud,25
ACC-2343,INV-B2B-802335,2025-01-21,649.0,Professional Platform,150
ACC-2214,INV-B2B-801430,2025-01-22,199.0,Growth Suite,0
ACC-2211,INV-B2B-801408,2025-01-22,74.0,Starter Cloud,25
ACC-2057,INV-B2B-800356,2025-01-22,399.0,Starter Cloud,350
ACC-2022,INV-B2B-800142,2025-01-22,74.0,Starter Cloud,25
ACC-2084,INV-B2B-800558,2025-01-22,199.0,Starter Cloud,150
ACC-2292,INV-B2B-801984,2025-01-23,349.0,Growth Suite,150
ACC-2044,INV-B2B-800262,2025-01-24,99.0,Starter Cloud,50
ACC-2124,INV-B2B-800832,2025-01-24,199.0,Starter Cloud,150
ACC-2331,INV-B2B-802262,2025-01-25,199.0,Growth Suite,0
ACC-2375,INV-B2B-802554,2025-01-25,549.0,Growth Suite,350
ACC-2018,INV-B2B-800114,2025-01-25,1515.0,Enterprise Unlimited,25
ACC-2369,INV-B2B-802500,2025-01-25,249.0,Growth Suite,50
ACC-2228,INV-B2B-801541,2025-01-25,349.0,Growth Suite,150
